Tissue	Module	Id	Symbol	is.hub
Metabolite	M11	X47028	X - 21851	no
Metabolite	M11	X47112	etiocholanolone glucuronide	no
Metabolite	M11	X47132	5alpha-androstan-3alpha,17beta-diol 17-glucuronide	no
Metabolite	M11	X47872	X - 17340	no
Metabolite	M11	X48009	X - 17357	no
Metabolite	M11	X49688	X - 23787	no
Metabolite	M11	X52865	X - 24544	no
Metabolite	M11	X52867	X - 24546	no
Metabolite	M11	X61846	androsterone glucuronide	no
Metabolite	M11	X62793	tetrahydrocortisol sulfate (1)	no
Metabolite	M11	X62921	pregnenetriol disulfate*	no
Metabolite	M11	X62922	pregnenetriol sulfate*	no
Metabolite	M11	X63251	11beta-hydroxyandrosterone glucuronide	no
Metabolite	M11	X63699	GlcNAc sulfate conjugate of C21H34O2 steroid**	no
Metabolite	M110	X36749	3-methyladipate	no
Metabolite	M110	X43424	dimethyl sulfone	no
Metabolite	M110	X43807	bilirubin (Z,Z)	no
Metabolite	M110	X47153	sphingomyelin (d18:1/24:1, d18:2/24:0)*	no
Metabolite	M110	X48490	sphingomyelin (d18:1/20:0, d16:1/22:0)*	no
Metabolite	M110	X48491	sphingomyelin (d18:1/20:1, d18:2/20:0)*	no
Metabolite	M110	X48492	behenoyl sphingomyelin (d18:1/22:0)*	no
Metabolite	M110	X48493	sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*	no
Metabolite	M110	X48762	1,2,3-benzenetriol sulfate (2)	no
Metabolite	M110	X48763	3-methoxycatechol sulfate (1)	no
Metabolite	M110	X52435	sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*	yes
Metabolite	M110	X52436	tricosanoyl sphingomyelin (d18:1/23:0)*	no
Metabolite	M110	X52495	sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)*	no
Metabolite	M110	X57475	sphingomyelin (d18:1/19:0, d19:1/18:0)*	no
Metabolite	M110	X57477	sphingomyelin (d18:1/22:2, d18:2/22:1, d16:1/24:2)*	no
Metabolite	M110	X57478	sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)*	no
Metabolite	M110	X57480	sphingomyelin (d18:2/21:0, d16:2/23:0)*	no
Metabolite	M110	X57482	sphingomyelin (d18:2/23:1)*	no
Metabolite	M116	X1561	alpha-tocopherol	no
Metabolite	M116	X19130	1,2-dipalmitoyl-GPC (16:0/16:0)	no
Metabolite	M116	X42446	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	no
Metabolite	M116	X42450	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	no
Metabolite	M116	X52438	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	no
Metabolite	M116	X52449	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	no
Metabolite	M116	X52450	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	no
Metabolite	M116	X52452	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	no
Metabolite	M116	X52453	1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*	no
Metabolite	M116	X52454	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*	no
Metabolite	M116	X52462	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	no
Metabolite	M116	X52467	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	no
Metabolite	M116	X52468	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	no
Metabolite	M116	X52616	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	yes
Metabolite	M116	X52710	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	no
Metabolite	M116	X57330	lignoceroyl sphingomyelin (d18:1/24:0)	no
Metabolite	M116	X63	cholesterol	yes
Metabolite	M119	X1549	3-hydroxyisobutyrate	no
Metabolite	M119	X15681	4-guanidinobutanoate	no
Metabolite	M119	X15772	ribitol	no
Metabolite	M119	X1587	N-acetylleucine	no
Metabolite	M119	X1591	N-acetylvaline	no
Metabolite	M119	X3155	3-ureidopropionate	no
Metabolite	M119	X31675	2-pyrrolidinone	no
Metabolite	M119	X33013	nicotinamide riboside	no
Metabolite	M119	X33943	N-acetylglutamine	no
Metabolite	M119	X33950	N-acetylphenylalanine	no
Metabolite	M119	X33967	N-acetylisoleucine	no
Metabolite	M119	X37190	5alpha-androstan-3beta,17beta-diol disulfate	no
Metabolite	M119	X37192	5alpha-androstan-3beta,17beta-diol monosulfate (2)	no
Metabolite	M119	X38276	2,3-dihydroxyisovalerate	no
Metabolite	M119	X38637	cinnamoylglycine	no
Metabolite	M119	X39603	ethyl glucuronide	yes
Metabolite	M119	X43591	N2,N5-diacetylornithine	yes
Metabolite	M119	X47790	X - 13684	no
Metabolite	M119	X48187	N-acetyltaurine	no
Metabolite	M119	X48408	tyramine O-sulfate	no
Metabolite	M119	X48885	arabitol/xylitol	no
Metabolite	M119	X52281	2-hydroxybutyrate/2-hydroxyisobutyrate	no
Metabolite	M119	X63264	pentose acid*	no
Metabolite	M12	X31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	no
Metabolite	M12	X40406	trimethylamine N-oxide	no
Metabolite	M12	X46259	X - 21258	no
Metabolite	M12	X46417	X - 13866	no
Metabolite	M12	X46666	X - 15728	no
Metabolite	M12	X46690	X - 18901	no
Metabolite	M12	X47011	X - 21834	no
Metabolite	M12	X47818	X - 17328	no
Metabolite	M12	X48715	eugenol sulfate	no
Metabolite	M12	X49463	X - 23587	no
Metabolite	M12	X49592	X - 11315	no
Metabolite	M12	X514	cytidine	no
Metabolite	M12	X52466	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	no
Metabolite	M12	X52610	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	no
Metabolite	M12	X52611	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	no
Metabolite	M12	X52697	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	no
Metabolite	M12	X52792	X - 24475	no
Metabolite	M12	X62277	hydroxy-CMPF*	no
Metabolite	M12	X62500	X - 25271	no
Metabolite	M12	X62714	X - 25417	no
Metabolite	M12	X62716	X - 25419	no
Metabolite	M12	X63592	X - 25810	yes
Metabolite	M125	X33230	1-palmitoleoyl-GPC (16:1)*	no
Metabolite	M125	X34419	1-linoleoyl-GPC (18:2)	no
Metabolite	M125	X35186	1-arachidonoyl-GPE (20:4n6)*	no
Metabolite	M125	X35628	1-oleoyl-GPE (18:1)	no
Metabolite	M125	X36600	1-linoleoyl-GPE (18:2)*	no
Metabolite	M125	X45951	1-linolenoyl-GPC (18:3)*	yes
Metabolite	M125	X47118	2-palmitoleoyl-GPC (16:1)*	no
Metabolite	M125	X48258	1-oleoyl-GPC (18:1)	no
Metabolite	M125	X52683	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	no
Metabolite	M125	X52684	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*	no
Metabolite	M125	X53180	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	no
Metabolite	M127	X1284	threonine	no
Metabolite	M127	X1493	ornithine	no
Metabolite	M127	X1498	N6,N6,N6-trimethyllysine	no
Metabolite	M127	X15705	cystathionine	no
Metabolite	M127	X1670	urea	no
Metabolite	M127	X18374	methionine sulfoxide	no
Metabolite	M127	X22137	homoarginine	no
Metabolite	M127	X33364	gamma-glutamylthreonine	no
Metabolite	M127	X35428	tiglylcarnitine (C5:1-DC)	no
Metabolite	M127	X36747	deoxycarnitine	no
Metabolite	M127	X37432	N-acetyl-beta-alanine	no
Metabolite	M127	X55072	2-oxoarginine*	yes
Metabolite	M127	X57461	argininate*	yes
Metabolite	M127	X57747	3-methylglutaconate	no
Metabolite	M127	X605	uracil	no
Metabolite	M127	X62959	hydroxy-N6,N6,N6-trimethyllysine*	no
Metabolite	M127	X63109	2R,3R-dihydroxybutyrate	no
Metabolite	M13	X1125	isoleucine	no
Metabolite	M13	X1299	tyrosine	no
Metabolite	M13	X1301	lysine	no
Metabolite	M13	X1302	methionine	no
Metabolite	M13	X15676	3-methyl-2-oxovalerate	no
Metabolite	M13	X1638	arginine	no
Metabolite	M13	X1649	valine	no
Metabolite	M13	X18245	gamma-glutamylhistidine	no
Metabolite	M13	X18349	indolelactate	no
Metabolite	M13	X18369	gamma-glutamylleucine	no
Metabolite	M13	X2132	citrulline	no
Metabolite	M13	X22116	4-methyl-2-oxopentanoate	no
Metabolite	M13	X22130	phenyllactate (PLA)	no
Metabolite	M13	X22132	alpha-hydroxyisocaproate	no
Metabolite	M13	X2730	gamma-glutamylglutamine	no
Metabolite	M13	X2734	gamma-glutamyltyrosine	no
Metabolite	M13	X32197	3-(4-hydroxyphenyl)lactate	no
Metabolite	M13	X33422	gamma-glutamylphenylalanine	no
Metabolite	M13	X33934	gamma-glutamyl-epsilon-lysine	no
Metabolite	M13	X33947	gamma-glutamyltryptophan	no
Metabolite	M13	X34456	gamma-glutamylisoleucine*	no
Metabolite	M13	X35133	N2-methylguanosine	no
Metabolite	M13	X37097	tryptophan betaine	no
Metabolite	M13	X40473	hydantoin-5-propionate	no
Metabolite	M13	X42002	lanthionine	no
Metabolite	M13	X42109	phosphate	no
Metabolite	M13	X43231	6-oxopiperidine-2-carboxylate	no
Metabolite	M13	X43493	formiminoglutamate	no
Metabolite	M13	X43829	gamma-glutamylvaline	no
Metabolite	M13	X44526	3-methyl-2-oxobutyrate	no
Metabolite	M13	X44872	gamma-glutamylmethionine	no
Metabolite	M13	X46227	fructosyllysine	no
Metabolite	M13	X47342	X - 18345	no
Metabolite	M13	X47800	X - 15666	no
Metabolite	M13	X49637	X - 23739	no
Metabolite	M13	X4968	alpha-ketobutyrate	no
Metabolite	M13	X5086	dimethylglycine	no
Metabolite	M13	X512	asparagine	no
Metabolite	M13	X52530	X - 24334	no
Metabolite	M13	X52906	X - 24585	no
Metabolite	M13	X53	glutamine	no
Metabolite	M13	X54	tryptophan	no
Metabolite	M13	X55015	gamma-glutamyl-alpha-lysine	no
Metabolite	M13	X566	phenylpyruvate	no
Metabolite	M13	X59	histidine	no
Metabolite	M13	X60	leucine	no
Metabolite	M13	X62104	gamma-glutamylcitrulline*	no
Metabolite	M13	X62503	6-bromotryptophan	no
Metabolite	M13	X62863	3-formylindole	no
Metabolite	M13	X62963	X - 25519	no
Metabolite	M13	X63583	3-indoleglyoxylic acid	no
Metabolite	M13	X64	phenylalanine	no
Metabolite	M145	X17945	2-hydroxystearate	no
Metabolite	M145	X19266	2-arachidonoylglycerol (20:4)	no
Metabolite	M145	X19324	1-stearoyl-GPI (18:0)	no
Metabolite	M145	X21184	1-oleoylglycerol (18:1)	no
Metabolite	M145	X21232	2-oleoylglycerol (18:1)	no
Metabolite	M145	X27447	1-linoleoylglycerol (18:2)	no
Metabolite	M145	X32506	2-linoleoylglycerol (18:2)	no
Metabolite	M145	X34393	1-linolenoylglycerol (18:3)	no
Metabolite	M145	X34397	1-arachidonylglycerol (20:4)	no
Metabolite	M145	X35153	1-docosahexaenoylglycerol (22:6)	no
Metabolite	M145	X35305	1-palmitoyl-GPI (16:0)	no
Metabolite	M145	X48341	1-dihomo-linolenylglycerol (20:3)	yes
Metabolite	M145	X52431	1-palmitoleoylglycerol (16:1)*	no
Metabolite	M148	X1105	linoleate (18:2n6)	no
Metabolite	M148	X1336	palmitate (16:0)	yes
Metabolite	M148	X1361	pentadecanoate (15:0)	no
Metabolite	M148	X1365	myristate (14:0)	no
Metabolite	M148	X1552	erucate (22:1n9)	no
Metabolite	M148	X17805	dihomo-linoleate (20:2n6)	no
Metabolite	M148	X32415	docosadienoate (22:2n6)	no
Metabolite	M148	X32417	docosatrienoate (22:3n3)	no
Metabolite	M148	X32980	adrenate (22:4n6)	no
Metabolite	M148	X33447	palmitoleate (16:1n7)	no
Metabolite	M148	X33587	eicosenoate (20:1)	no
Metabolite	M148	X33971	10-heptadecenoate (17:1n7)	no
Metabolite	M148	X33972	10-nonadecenoate (19:1n9)	no
Metabolite	M148	X34035	linolenate [alpha or gamma; (18:3n3 or 6)]	no
Metabolite	M148	X35718	dihomo-linolenate (20:3n3 or n6)	no
Metabolite	M148	X37752	13-HODE + 9-HODE	no
Metabolite	M148	X38102	oleoyl ethanolamide	no
Metabolite	M148	X39732	N-oleoyltaurine	no
Metabolite	M148	X52285	oleate/vaccenate (18:1)	yes
Metabolite	M148	X52608	linoleoyl ethanolamide	no
Metabolite	M148	X52938	3-hydroxystearate	no
Metabolite	M148	X57652	hexadecadienoate (16:2n6)	no
Metabolite	M148	X62919	tridecenedioate (C13:1-DC)*	no
Metabolite	M15	X1512	picolinate	no
Metabolite	M15	X27672	3-indoxyl sulfate	no
Metabolite	M15	X35126	phenylacetylglutamine	yes
Metabolite	M15	X36103	p-cresol sulfate	no
Metabolite	M15	X38116	indole-3-carboxylate	no
Metabolite	M15	X40173	L-urobilin	no
Metabolite	M15	X43374	indolin-2-one	no
Metabolite	M15	X46295	X - 21286	no
Metabolite	M15	X46354	X - 21310	no
Metabolite	M15	X46461	X - 16124	no
Metabolite	M15	X46466	X - 11843	no
Metabolite	M15	X46507	X - 11850	no
Metabolite	M15	X46510	X - 12544	no
Metabolite	M15	X46611	X - 12013	no
Metabolite	M15	X46613	X - 12216	no
Metabolite	M15	X46902	X - 21733	no
Metabolite	M15	X47971	X - 13729	no
Metabolite	M15	X48425	phenylacetylcarnitine	no
Metabolite	M15	X48698	6-hydroxyindole sulfate	no
Metabolite	M15	X48841	p-cresol glucuronide*	no
Metabolite	M15	X52025	X - 23997	no
Metabolite	M15	X52852	X - 24531	no
Metabolite	M15	X52914	5-hydroxyindole sulfate	no
Metabolite	M15	X52925	phenylacetylglutamate	no
Metabolite	M15	X57745	phenylacetate	no
Metabolite	M15	X57783	1H-indole-7-acetic acid	no
Metabolite	M15	X63151	N,N-dimethylalanine	no
Metabolite	M152	X32328	hexanoylcarnitine (C6)	no
Metabolite	M152	X33936	octanoylcarnitine (C8)	no
Metabolite	M152	X33941	decanoylcarnitine (C10)	yes
Metabolite	M152	X33952	myristoylcarnitine (C14)	no
Metabolite	M152	X34534	laurylcarnitine (C12)	no
Metabolite	M152	X38178	cis-4-decenoylcarnitine (C10:1)	no
Metabolite	M152	X44664	glutarylcarnitine (C5-DC)	no
Metabolite	M152	X48182	myristoleoylcarnitine (C14:1)*	no
Metabolite	M152	X61769	5-dodecenoylcarnitine (C12:1)	no
Metabolite	M152	X61775	nonanoylcarnitine (C9)	no
Metabolite	M153	X1642	caprate (10:0)	no
Metabolite	M153	X22001	3-hydroxyoctanoate	no
Metabolite	M153	X22053	3-hydroxydecanoate	no
Metabolite	M153	X32457	3-hydroxylaurate	no
Metabolite	M153	X32492	caprylate (8:0)	no
Metabolite	M153	X33968	5-dodecenoate (12:1n7)	no
Metabolite	M153	X46398	X - 21353	no
Metabolite	M153	X46640	X - 15469	no
Metabolite	M153	X46674	X - 21607	no
Metabolite	M153	X47783	X - 22519	no
Metabolite	M153	X47802	X - 16397	no
Metabolite	M153	X47804	X - 16580	no
Metabolite	M153	X47820	X - 17335	no
Metabolite	M153	X49555	X - 23678	no
Metabolite	M153	X49681	X - 23782	no
Metabolite	M153	X53230	3-hydroxyhexanoate	no
Metabolite	M153	X61843	3-hydroxyoleate*	no
Metabolite	M153	X62276	dodecadienoate (12:2)*	no
Metabolite	M153	X62850	tetradecadienoate (14:2)*	no
Metabolite	M153	X62873	cis-4-decenoate (10:1n6)*	no
Metabolite	M153	X63358	3-hydroxydecanoylcarnitine	no
Metabolite	M153	X63361	3-decenoylcarnitine	no
Metabolite	M153	X63436	(2 or 3)-decenoate (10:1n7 or n8)	no
Metabolite	M153	X63615	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*	no
Metabolite	M153	X63617	branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (3)*	no
Metabolite	M153	X63683	branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*	no
Metabolite	M154	X22036	2-hydroxyoctanoate	yes
Metabolite	M154	X31928	2-methylbutyrylglycine	no
Metabolite	M154	X40007	carboxyethyl-GABA	no
Metabolite	M154	X42489	2-hydroxydecanoate	no
Metabolite	M154	X43343	2-aminooctanoate	no
Metabolite	M154	X43761	2-aminoheptanoate	no
Metabolite	M154	X46590	X - 07765	no
Metabolite	M154	X46695	X - 18913	no
Metabolite	M154	X46705	X - 17438	no
Metabolite	M154	X46985	X - 12193	no
Metabolite	M154	X62059	N-acetyl-2-aminooctanoate*	no
Metabolite	M154	X63120	2-ketocaprylate	no
Metabolite	M155	X15730	suberate (C8-DC)	no
Metabolite	M155	X18362	azelate (C9-DC)	yes
Metabolite	M155	X32398	sebacate (C10-DC)	no
Metabolite	M155	X35527	4-hydroxyhippurate	no
Metabolite	M155	X37073	alpha-hydroxycaproate	no
Metabolite	M155	X37536	12-HETE	no
Metabolite	M155	X38395	12,13-DiHOME	no
Metabolite	M155	X38399	9,10-DiHOME	no
Metabolite	M155	X43549	N-formylanthranilic acid	no
Metabolite	M155	X43592	4-methylbenzenesulfonate	no
Metabolite	M155	X46658	X - 15220	no
Metabolite	M155	X46960	sulfate*	no
Metabolite	M155	X47203	X - 13007	no
Metabolite	M155	X47204	X - 14904	no
Metabolite	M155	X47993	X - 17010	yes
Metabolite	M155	X48081	X - 22776	no
Metabolite	M155	X48429	methyl-4-hydroxybenzoate sulfate	no
Metabolite	M155	X48433	N-formylphenylalanine	no
Metabolite	M155	X48460	propyl 4-hydroxybenzoate sulfate	no
Metabolite	M155	X48972	X - 23276	no
Metabolite	M155	X63357	2-hydroxysebacate	yes
Metabolite	M156	X31943	3-hydroxysebacate	yes
Metabolite	M156	X32388	dodecanedioate (C12-DC)	no
Metabolite	M156	X32426	I-urobilinogen	no
Metabolite	M156	X35669	tetradecanedioate (C14-DC)	no
Metabolite	M156	X35678	hexadecanedioate (C16-DC)	no
Metabolite	M156	X39609	16-hydroxypalmitate	no
Metabolite	M156	X48048	X - 18888	no
Metabolite	M156	X54907	hexanoylglutamine	no
Metabolite	M156	X6146	2-aminoadipate	no
Metabolite	M156	X61864	dodecenedioate (C12:1-DC)*	no
Metabolite	M156	X62069	3-hydroxyadipate*	no
Metabolite	M156	X62915	3-hydroxydodecanedioate*	no
Metabolite	M157	X32198	acetylcarnitine (C2)	no
Metabolite	M157	X33963	acetoacetate	no
Metabolite	M157	X43264	(R)-3-hydroxybutyrylcarnitine	no
Metabolite	M157	X47014	X - 12839	no
Metabolite	M157	X47642	X - 12101	no
Metabolite	M157	X49542	X - 23665	no
Metabolite	M157	X52984	(S)-3-hydroxybutyrylcarnitine	no
Metabolite	M157	X542	3-hydroxybutyrate (BHBA)	no
Metabolite	M157	X61785	butenoylglycine	no
Metabolite	M157	X62557	3-hydroxyhexanoylcarnitine (1)	no
Metabolite	M157	X62735	4-methylhexanoylglutamine	no
Metabolite	M157	X63657	glutamine conjugate of C6H10O2 (1)*	no
Metabolite	M157	X63658	glutamine conjugate of C7H12O2*	no
Metabolite	M157	X63660	glutamine conjugate of C6H10O2 (2)*	yes
Metabolite	M16	X15500	carnitine	no
Metabolite	M16	X15765	ethylmalonate	no
Metabolite	M16	X31932	propionylglycine	no
Metabolite	M16	X32412	butyrylcarnitine (C4)	no
Metabolite	M16	X32452	propionylcarnitine (C3)	no
Metabolite	M16	X33441	isobutyrylcarnitine (C4)	no
Metabolite	M16	X34407	isovalerylcarnitine (C5)	no
Metabolite	M16	X35107	isovalerylglycine	no
Metabolite	M16	X35437	isobutyrylglycine	no
Metabolite	M16	X37196	5alpha-pregnan-3beta,20beta-diol monosulfate (1)	no
Metabolite	M16	X37198	5alpha-pregnan-3beta,20alpha-diol disulfate	no
Metabolite	M16	X37200	5alpha-pregnan-3beta,20alpha-diol monosulfate (2)	no
Metabolite	M16	X37480	5alpha-pregnan-3beta-ol,20-one sulfate	no
Metabolite	M16	X40708	pregnanediol-3-glucuronide	no
Metabolite	M16	X44656	isovalerate (i5:0)	no
Metabolite	M16	X45095	2-methylbutyrylcarnitine (C5)	no
Metabolite	M16	X46142	mannitol/sorbitol	no
Metabolite	M16	X46172	5alpha-pregnan-diol disulfate	no
Metabolite	M16	X46347	X - 11381	no
Metabolite	M16	X47101	N-methylpipecolate	no
Metabolite	M16	X47690	X - 12112	no
Metabolite	M16	X49517	X - 23641	no
Metabolite	M16	X52280	X - 24241	no
Metabolite	M16	X52988	adipoylcarnitine (C6-DC)	no
Metabolite	M16	X52990	suberoylcarnitine (C8-DC)	no
Metabolite	M16	X62860	N6-methyllysine	no
Metabolite	M16	X62862	N6,N6-dimethyllysine	no
Metabolite	M16	X62954	N2-acetyl,N6-methyllysine	no
Metabolite	M16	X63254	N2-acetyl,N6,N6-dimethyllysine	no
Metabolite	M161	X1516	sarcosine	no
Metabolite	M161	X21025	iminodiacetate (IDA)	yes
Metabolite	M161	X22176	cysteine s-sulfate	no
Metabolite	M161	X22185	N-acetylaspartate (NAA)	no
Metabolite	M161	X32984	N-alpha-acetylornithine	no
Metabolite	M161	X47955	X - 12906	no
Metabolite	M161	X52501	X - 24306	no
Metabolite	M161	X52502	X - 24307	no
Metabolite	M161	X52779	X - 24462	no
Metabolite	M161	X53229	2-methylserine	no
Metabolite	M161	X57776	N-oxalyl glycine (NOG)	no
Metabolite	M161	X62151	X - 25172	no
Metabolite	M161	X63061	pantoate	no
Metabolite	M166	X15778	benzoate	no
Metabolite	M166	X36776	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	no
Metabolite	M166	X43507	3b-hydroxy-5-cholenoic acid	no
Metabolite	M166	X46384	X - 21339	no
Metabolite	M166	X46390	X - 11308	no
Metabolite	M166	X46594	X - 11372	yes
Metabolite	M166	X46608	X - 11880	no
Metabolite	M166	X46681	X - 16935	no
Metabolite	M166	X46709	X - 17654	no
Metabolite	M166	X52916	2-hydroxylaurate	no
Metabolite	M166	X54805	3beta-hydroxy-5-cholestenoate	no
Metabolite	M166	X57718	X - 24951	no
Metabolite	M166	X57720	X - 24953	no
Metabolite	M17	X1107	allantoin	no
Metabolite	M17	X1123	inosine	no
Metabolite	M17	X1414	3-phosphoglycerate	no
Metabolite	M17	X1806	retinol (Vitamin A)	no
Metabolite	M17	X18368	cys-gly, oxidized	no
Metabolite	M17	X1868	cysteine	no
Metabolite	M17	X2134	flavin adenine dinucleotide (FAD)	no
Metabolite	M17	X3127	hypoxanthine	no
Metabolite	M17	X3147	xanthine	no
Metabolite	M17	X31548	Fibrinopeptide A, des-ala(1)*	no
Metabolite	M17	X32306	trans-4-hydroxyproline	no
Metabolite	M17	X32342	adenosine 5'-monophosphate (AMP)	yes
Metabolite	M17	X35159	cysteine-glutathione disulfide	no
Metabolite	M17	X35637	cysteinylglycine	no
Metabolite	M17	X36738	gamma-glutamylglutamate	no
Metabolite	M17	X37459	ergothioneine	no
Metabolite	M17	X40499	4-hydroxyglutamate	no
Metabolite	M17	X41754	heme	yes
Metabolite	M17	X42382	S-adenosylhomocysteine (SAH)	no
Metabolite	M17	X443	aspartate	no
Metabolite	M17	X46387	X - 21342	no
Metabolite	M17	X46539	N-acetylglucosamine/N-acetylgalactosamine	no
Metabolite	M17	X46620	X - 12462	no
Metabolite	M17	X46972	X - 21796	yes
Metabolite	M17	X47478	X - 10458	no
Metabolite	M17	X47493	X - 11632	no
Metabolite	M17	X47673	X - 19299	no
Metabolite	M17	X48141	2-keto-3-deoxy-gluconate	no
Metabolite	M17	X48152	glucose	no
Metabolite	M17	X48153	mannose	no
Metabolite	M17	X485	spermidine	no
Metabolite	M17	X54923	beta-citrylglutamate	no
Metabolite	M17	X555	adenosine	no
Metabolite	M17	X57	glutamate	no
Metabolite	M17	X57709	Fibrinopeptide A*	no
Metabolite	M17	X61858	ribulonate/xylulonate/lyxonate*	no
Metabolite	M17	X62103	cysteinylglycine disulfide*	no
Metabolite	M17	X62278	histidine betaine (hercynine)*	no
Metabolite	M17	X62521	X - 25279	no
