Tissue	Module	Size	Layer	Parent	Hub	Function	Enrichment of aging-upregulated genes	Enrichment of aging-downregulated genes
Adipose	M49	77	3	M3	GRN,TTYH3,CTSD,MAN2B1	LYTIC_VACUOLE_ORGANIZATION	1.48527259916606e-06	NA
Adipose	M84	24	3	M5	LONRF1,FKBP5	NA	NA	6.47572205942255e-06
Adipose	M104	175	3	M10	LOC729009,TMSL3,FTHL3,FTHL8,LOC730278,FTHL2,FTHL12,FTHL11,RBMS3,S100A11	NA	NA	0.00215428361528743
Adipose	M287	20	4	M51	GFPT2,PTGIS,SCARA5	EXTRACELLULAR_STRUCTURE_ORGANIZATION	7.66132856420061e-06	NA
Adipose	M777	24	5	M379	LOC100131164,AHSP,SLC4A1	ERYTHROCYTE_MATURATION	4.98567460857231e-06	NA
Adipose	M195	47	3	M21	COX5B,COX8A,ECH1	ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	NA	6.17558894323783e-07
Adipose	M427	13	4	M100		NA	NA	3.94230077532161e-05
Adipose	M297	74	4	M55	ARHGDIA,PKM2,RAB5C,DLGAP4,GNAI2	NA	3.77971099067142e-06	NA
Adipose	M363	22	4	M77	COX10,CS	CELLULAR_RESPIRATION	NA	2.75637573668108e-05
Adipose	M644	22	4	M202	HLF	RHYTHMIC_PROCESS	NA	0.00025061535961448
Adipose	M361	31	4	M75	MLXIPL	ENERGY_HOMEOSTASIS	NA	1.11811365148937e-05
Adipose	M606	15	4	M186	CD99	NA	8.68600101163359e-05	NA
Adipose	M955	43	6	M726	ARHGDIA,DLGAP4,RPS6KA4	NA	0.000269561829824458	NA
Adipose	M23	49	2	M2	ACTB,TAGLN2	NA	0.000860175379373117	NA
Adipose	M197	21	3	M21	ADORA1,INSIG1	CELLULAR_RESPONSE_TO_STEROL	NA	0.000174127577072793
Adipose	M39	157	3	M3	TREM2,ACP5,DNASE2B,SPOCD1,ALCAM,PLA2G7,HAMP,SLC16A10	NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	2.57459332147967e-08	NA
Adipose	M398	22	4	M96	FBN1	MIDBRAIN_DOPAMINERGIC_NEURON_DIFFERENTIATION	0.000182258325005098	NA
Adipose	M726	48	5	M297	ARHGDIA,DLGAP4,RPS6KA4,PIP5K1C	NA	0.000718009983328979	NA
Adipose	M476	14	4	M120	SCP2	NA	NA	0.00712056992086064
Adipose	M237	23	4	M32	SLC12A9,SMAP2	NA	0.000259442193591049	NA
Adipose	M204	28	3	M23	ACTB	POSTSYNAPSE_ORGANIZATION	0.00587971998248025	NA
Adipose	M220	19	3	M28	DCN	AMINOGLYCAN_BIOSYNTHETIC_PROCESS	0.000489256541441024	NA
Adipose	M51	39	3	M3	PTGIS,AHNAK2,MMP2	EXTRACELLULAR_STRUCTURE_ORGANIZATION	0.00010646261668764	NA
Adipose	M159	79	3	M13	CRYAB,AHNAK,AGPAT9	NA	NA	NA
Adipose	M249	20	4	M36	HLA.DRA	NA	0.000667695159842654	NA
Adipose	M69	25	3	M5	NISCH	EPOXYGENASE_P450_PATHWAY	NA	0.0037563206686721
Adipose	M203	12	3	M23	TAGLN2	NA	0.0200145476880205	NA
Adipose	M4	1651	2	M1	ZNF580,RBM42,USP5,CDC42BPB,AGPAT1,KPNA6,LOC100132247,LOC407835,UBA1,ACIN1,UBE1,TMEM109,CLSTN1,WASF2,HEATR1,LOC100132761,LOC100133565,MTA1,ARHGDIA,INF2,GRINA,CENPT,USF2,LOC100130123,FBRS,SSBP3,SUPT5H,LOC440341,LTBP3,LOC728888,MKNK1,NCOR2,ITPK1,ITGB4,LOC389286,CRTC2,CBX7,RAB5C,DLGAP4,DENND4B,COQ10B,MSH6,ST6GALNAC6,TNKS1BP1,RPS6KA4,CIC,PKM2,PDIA5,SLC9A4,LENG8,GDI1,CLPTM1,PACS1,INO80E,MLF2,TMEM184B,KCNIP2,UBR4,TENC1,ITFG3,LOC441763,ATN1,RAMP2,AES,NFIX,TAPBP,TINAGL1,ZNF219,LOC440353,EGFL7,RTN4,LTBR,GORASP1,EHBP1L1,LOC644931,DHX30,LOC440348,DARC,GBF1,SMG7,PTMS,C1orf66,CDC25B,RGL2,RNU1F1,VPS4A,LOC644043,LRP1,LARP1,VAT1,MIB2,SLC38A10,IRAK1,MATR3,LOC100008589,C16orf56,GNAI2,DEDD,SPTAN1,NFE2L1,CAPNS1,G6PC3,POLR2I,NPIP,PREI3	REGULATION_OF_INTRACELLULAR_TRANSPORT	NA	NA
Adipose	M5	1957	2	M1	SPSB3,STX5,C7orf27,PUF60,RNF220,FAM39E,PRR14,GAK,RNF126,E4F1,RXRB,RANGAP1,C14orf173,PTPN11,SAFB,MLXIPL,ADCY4,TCF25,MBD6,CCDC130,APBB3,TGOLN2,EMD,EFEMP2,ZC3H5,POMT1,HPS6,ASPSCR1,SGSM2,TP53I13,CDC37,DMAP1,STMN3,PHLDB1,DCI,CS,RPRC1,TJAP1,TPD52L2,TMEM205,ZNF672,VPS16,FOXJ2,SHANK3,REEP5,COBLL1,PRRX2,VEGFB,AIF1L,BCL7B,FLAD1,FBXW4,ITGB1,BCKDHA,PHRF1,RAB10,UBE2D4,CTDSP2,GALT,ARAP3,C17orf61,ITPR3,TSPAN4,ULK1,ZBTB46,SLC25A28,LRRC41,ARIH2,NISCH,PIGQ,ARD1A,CSNK1E,SLC2A4RG,HADH,C11orf2,NAT10,SIX5,STRADA,COX10,EVL,GPIHBP1,C16orf48,UBAC2,ZNF358,FKBP1A,CALM3,NPEPL1,MRPS18A,WBP1,SPG7,C20orf160,SOX18,CENPB,R3HCC1,EGLN2,ARAF,EIF2B5,TNFRSF14,CDH5,BOP1,DGAT1,LAS1L,FKBP5,TMEM42,TRABD,TSPAN17,LOC730316,ID1,C16orf58,HNRPUL1,POM121C,KRTCAP2,CYB561D1,ASCC2,ARHGEF6,TSPAN9,TSR2,MOBKL2C,RHBDF1,ASAP3,LONRF1,TMEM138,MLLT6	NA	NA	0.00149115540441264
Adipose	M6	557	2	M1	LOC653635,TRIML1,SLC25A45,LOC728453,JPH2,LOC646508,CALML5,LOC642377,PSENEN,SLC19A2,ZNF473,LOC641819,PSMB7,LOC653720,CALN1,MED1,EEF1D,LOC100134420,PABPC5,LOC100131164,GPR175,HBD,FGF23,DSP,LOC100133478,ACTRT1,C14orf174,NOC4L,PTPN7,RBM38,EPB41L4A,AHSP,DERL2,LOC653073	SKIN_DEVELOPMENT	NA	NA
Adipose	M7	330	2	M1	CNN1,RPESP,FBN1,MYH11,PDE5A,KCNMB1,FHL5,C1QTNF3,PI16,ACTA2,PLN,DPYSL3,CSRP1,CACNA1H,SUSD2,FNDC1,RERGL,MUSTN1,TPM2,ACTG2,FBLN1	MUSCLE_SYSTEM_PROCESS	0.000632489907612674	NA
Adipose	M8	636	2	M1	LOC100133840,EIF2C2,YY1,PAPD5,CCNY,DFFA,SLC25A36,LOC441155,RNF115,PCYOX1,TRIM23,ARID4B,COL4A3BP,LOC652330,RSPRY1,PPP2R5E,WDR73,CSDE1,LOC440349,BBX,LOC642678,GTF2I,LOC440345,GNL3L,MAP3K7,PLA2G16,LOC653884,NFAT5,DYRK2,SNRPD3,RC3H2,CUEDC1,C5orf41,RGPD8,DDR2,ZNF148,RBM12B,MSL3L1,TNRC6B,UBE2H,ZBTB43,NBPF11	NA	NA	NA
Adipose	M10	2591	2	M2	SLBP,MCTS1,LOC100129028,METTL7A,ANXA2P1,PTMA,ACTR3,LOC642828,TXNL1,DEK,FKBP3,SFRS12,LOC729009,FYTTD1,CUL4A,SEPT7,LOC440063,UTP3,OSBPL8,EHD2,ARPC5,VPS26,TMSL3,FAM162A,NDUFA11,RAB8B,FTHL3,PTGES3,GLRX2,CNBP,TCP1,LOC644063,LOC729086,MTMR6,IBTK,YAP1,LOC388076,FTHL8,FAM98A,NDUFB7,JAK1,NR2C2,WASL,CLTC,LOC284988,CCNH,LOC391532,UBE4A,MRPL15,LOC730278,NARS,OTUD6B,TXNDC9,FBXO3,FRG1,MNAT1,LOC389787,C18orf32,ATP5L,LOC731777,NCOR1,SDHC,LOC392285,RAP1B,RPN2,FLJ20273,LOC100132717,ARMC8,MRPS11,ZNF644,NAT13,WASPIP,AKAP11,AP1G1,FTHL2,LOC128192,ATP5C1,ISCA1,ACSL1,CSNK2B,RAP1BL,RCADH5,HAT1,PRRC1,LOC100130308,APH1A,PSMD14,USP33,LOC729340,FTHL12,FTHL11,G3BP1,IQGAP1,RBMS3,LOC644914,ETFB,LOC732432,KIF1C,SCP2,RFX3,SUMO2,HIF1A,AGFG1,HNRNPK,PSMD4,METT11D1,NXF1,DDHD2,DCTN4,RANBP1,MED23,Magmas,PRDX2,ERGIC3,NUCB2,WIPF1,PFKFB3,XRCC6,C6orf120,SMNDC1,PECI,MYO1B,LOC401076,MS4A4A,NDUFB2,HSPB6,VCAN,S100A11,TIMM8B,TOP2B,RPL19,TM9SF2,LOC100132457,GKAP1,ACVR2A,ASPH,RBBP7,CDK5RAP3,PUM2,OTUD4,SUV420H1,ZNF226,ZC3H15,ZNF828,TMEM179B	NUCLEOTIDE_EXCISION_REPAIR	NA	NA
Adipose	M11	2235	2	M2	LOC100134504,LOC220433,LOC641848,LOC728973,SFRS11,FLJ43681,LOC100131205,LOC645157,LOC100129742,DDX17,LOC100132291,ZNF146,LOC100131526,LOC387791,LOC388621,CAPRIN1,FAM179B,LOC651202,LOC388532,RAN,LOC646527,RAB33B,HOXA10,LOC100128410,LOC731640,LOC649946,LOC647030,PKN2,COPB2,LBR,SEC24C,LOC653773,LOC100128266,GMPR2,KIAA1033,LOC652481,LOC100129657,LOC728484,LOC647285,LOC646688,RPS28,LOC100131672,LOC100132863,NDUFB10,LOC100129599,LOC653658,LOC728060,LOC729513,CRIPAK,NDUFAF3,PRKRA,MRPL10,KPNA4,TMEM147,LOC729208,LOC646819,LOC388339,UBLCP1,LOC645231,LOC644774,PGAM1,COPS2,LOC286512,LOC644907,LOC729255,LOC100134273,GIMAP1,LOC100131905,LOC645691,USP1,LOC728572,MBNL2,RPS6P1,LOC100131572,ATP11B,LOC728590,DNAJB14,YIPF3,LOC100128936,A2M,LCOR,AKAP1,CCT3,SEC16A,MRPL20,SAP30L,LOC730382,NACAP1,SEPT2,SESTD1,LOC100132547,LIFR,ATP6V1E1,C20orf108,ZNF679,PPP1R12A,LOC391656,LOC642989,FAM116A,LOC100132499,LOC390354,PPP1CA,SAV1,LOC100131336,LOC338870,LOC391126,LSM6,LOC653156,LOC728820,TMEM47,UBE2D3,LOC729978,LOC728672,RHOQ,LOC100131787,LOC647673,PDE8A,AMY2B,C14orf125,ALDOA,PTBP1,LOC728031,RNY3,SBDSP,SFRS14,MAPKAP1,SPTBN1,LOC646949,LOC729926	PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	NA	NA
Adipose	M12	640	2	M2	USP49,IL10,LOC100132727,LOC100131989,PTPLAD2,FAM40B,ZNF223,CCBE1,NLRP8,LOC100132585,LOC644250,NUBPL,DTWD2,LOC100129211,DEM1,TMEM106A,LOC100128062,SLC35A4,KIAA1751,LOC100129502,CEP27,SPTLC1,FAM73A,TDRD1,LOC648921,LMOD3,SDHALP1,FLJ36131,LOC653086,SHROOM4,PPP3CB,LOC100130053,LOC389765,KLHL28,PDE4C,ZNF786,LOC100131718,LOC100128098,DMC1,LOC730990,LOC653489,EIF2AK4,FAM63A,C21orf55,MCM8	NA	NA	NA
Adipose	M13	264	2	M2	CRYAB,LEP,ANXA2,LOC392437,UCHL1,HTRA1,AKR1C4,AHNAK,NQO1,EPDR1,SPARC,AGPAT9,LOC401115,TRIM24,CYB5R3,ARF4	REGULATION_OF_SMALL_MOLECULE_METABOLIC_PROCESS	NA	NA
Adipose	M16	181	2	M2	GPAM,MRAP,PMEPA1,KANK4,ANKRD38,GCOM1,HSPA12A,ADIPOR2,SORBS1,KLHDC8B,DGAT2,VLDLR	REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	NA	NA
Adipose	M17	380	2	M2	LOC643863,LOC648249,LOC387867,LOC100130980,LOC441246,LOC729102,RPL4,RPS15A,PPWD1,LOC646942,LOC648210,HNRPA1P4,LOC401537,LOC100129553,STEAP4,LOC148430,LOC728139,LOC642250,LOC651198,LOC286444,LOC100133607,LOC441013,RSL1D1,RPS3,LOC645173,LOC644511,LOC648294,RPS9	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M18	529	2	M2	SF3B2,SEC24B,SIRT1,FNDC3A,PIK3CA,MEX3C,ADNP,TMEM55B,MVP,PSIP1,LOC100131261,SENP7,PPARBP,CCNG2,CD99,S100A4,GMPPA,LOC440280,CASC3,GSN,STAG2,FCHO2,KLHL24,KEAP1,KCTD6,NMD3,HNRNPAB,UBQLN2,EMP3,SP3,PHIP,WDR51B,ZRANB2,RNPS1,RECK,NUDCD3,SMARCA5,CD248,ZNF281	NA	NA	NA
Adipose	M19	235	2	M2	UQCRHL,SDHD,PSAP,UQCRC2,COX7B,LAMP1,EFEMP1,DLD,ATP6V1F,LOC729769,NDUFAB1,ATP6AP1,PTRF,PLEKHM2,SQSTM1,ECHDC1,ACADM	AEROBIC_RESPIRATION	NA	NA
Adipose	M20	238	2	M2	HMBS,ENO1,PPIL1,LOC399988,SRPRB,ANXA5,ACTR1A,TXN,MRPS12,C20orf24,TUBG1,AP2S1,S100A10	TRNA_METABOLIC_PROCESS	NA	NA
Adipose	M22	148	2	M2	MRAS,DHDDS,DAG1,SURF4,NPLOC4,LOC653764,CYBASC3,HLF,KIAA0427,REV1,TUBB2C	POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	NA	NA
Adipose	M24	74	2	M2	OAS2,UBE2L6	DEFENSE_RESPONSE_TO_VIRUS	NA	NA
Adipose	M25	66	2	M2	LOC644373,LOC649088,LOC728755	NA	NA	NA
Adipose	M26	224	2	M2	GNG12,MDFIC,CASC4,TMEM168,CCNC,KIF5B,NCKAP1,UBE1DC1,STT3B,CLINT1,XPOT,UBA3,NEK7	ZINC_ION_TRANSMEMBRANE_TRANSPORT	NA	NA
Adipose	M27	146	2	M2	MFSD3,ANAPC11,SDHAF2,HDAC2,POP5,B4GALT7,LOC100133328,NDUFS7	NA	NA	NA
Adipose	M28	78	2	M2	COL1A2,DCN,FAM46A,COL1A1,PRRX1	COLLAGEN_FIBRIL_ORGANIZATION	0.000130574112760713	NA
Adipose	M29	162	2	M2	KIAA0913,RERE,NUMA1,UNC84A,HDGF2,EIF4B,MLL4	NA	NA	NA
Adipose	M30	219	2	M2	CCNT2,CNOT7,CCDC117,GABPA,HECTD1,CLK1,MORC3,CSNK1G3,SMC3,GPBP1,NUP133,C5orf24,KIAA2010,HERC4,EIF4A2,PAPD4	DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	NA	NA
Adipose	M35	27	3	M3	LOC100134634,LOC100134530	NA	NA	NA
Adipose	M38	63	3	M3	NLF2,JUNB,NR4A2	RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	NA	NA
Adipose	M47	35	3	M3	H2AFY	NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	NA	NA
Adipose	M48	42	3	M3	TOP2A,CEP55,UBE2C,NUSAP1	MITOTIC_NUCLEAR_DIVISION	NA	NA
Adipose	M50	26	3	M3	LOC285929,PMP2	ENSHEATHMENT_OF_NEURONS	NA	NA
Adipose	M52	16	3	M3	SERTAD3,SERTAD1,SNORA67	NA	NA	NA
Adipose	M54	17	3	M3		NA	NA	NA
Adipose	M55	1275	3	M4	ZNF580,RBM42,USP5,CDC42BPB,AGPAT1,KPNA6,LOC100132247,LOC407835,ACIN1,HEATR1,LOC100132761,LOC100133565,WASF2,MTA1,ARHGDIA,INF2,GRINA,CENPT,LOC100130123,FBRS,SSBP3,SUPT5H,LOC440341,LOC728888,NCOR2,ITPK1,LOC389286,CRTC2,CBX7,RAB5C,DLGAP4,COQ10B,MSH6,RPS6KA4,CIC,PKM2,SLC9A4,LENG8,GDI1,CLPTM1,PACS1,INO80E,MLF2,KCNIP2,TENC1,ITFG3,LOC441763,ATN1,RAMP2,AES,NFIX,TINAGL1,ZNF219,LOC440353,EGFL7,RTN4,LTBR,GORASP1,LOC644931,LOC440348,SMG7,PTMS,RGL2,RNU1F1,VPS4A,LOC644043,VAT1,MIB2,SLC38A10,IRAK1,MATR3,LOC100008589,C16orf56,GNAI2,DEDD,SPTAN1,NFE2L1,CAPNS1,G6PC3,NPIP,PREI3	REGULATION_OF_CELL_MORPHOGENESIS	NA	NA
